mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source
"4qFeUmbXMBKhw9NNWtY7HX2rzw8y5Be3AyT7mEh8pump","MOGGED","Mogged By Clav","6ur7i3RfaNf6HVouMv1YoWpxLFMh5rgi9ELng8GGJgec",1771143430,2013.7796,582.585757569,-10.592,0.000002538469073097866,5,7,0,false,false,false,"geckoterminal"
"2MaHUxePtBM5ctS1RN2ZTgvc6vkSe59YEa3E6C7hpump","Throwdatmf","THROWDATMF","H4v8v7hiTU154d4GAbMVnG7bTud54aUukUq8RXgzXuSx",1771143428,2058.6008,27.8535956282,1.994,0.0000025970930877911666,3,1,0,false,false,false,"geckoterminal"
"3MBXPaLbTfbFVqY3mNiJGjV5Rr6PTeq2hBH6rzxuUNcp","Macrohard","The Mission of Truth","2WSzZMU9BnYA7Y57TwuEmVxEMfKjsDz7ksgmbwJniEoc",1771143427,37647.4753,14934.7943734145,443.393,0.00007915652471002769,56,6,0,false,false,false,"geckoterminal"
"94jU6zn6xLCVMAfKhYhE5rP3ysTLe6chMrxLLoTEpump","FreeTory","Free Tory Lanez","2CGNaZfDesQvuC6vNj76EGMCEKr7oEib8QXP2gmFGwcB",1771143427,4393.0325,5707.1979764389,92.199,0.000008094644875839947,82,66,0,false,false,false,"geckoterminal"
"EKsWCSCKruxuacbUbCS7ct8K134uJQJqeV7Hch2fgR2A","Asahi","アサヒ","3aX8MYobrxi4pArnL4FRgjuzLmwTSDhfH1wT7UcBzZxH",1771143427,30883.5965,35629.6193346817,270.843,0.000029977693863033166,1256,340,0,false,false,false,"geckoterminal"
"B7EgqBeHZzphBmDdM5VLM1VfnUgNrURTzeuRZt9Jpump","Asahi","literally same as punch","9kELHyNGLu89tRQbKQTpTqpbReYck5GSvZWdPgSfZ9YT",1771143426,2079.12037379501,179.3071739927,0,0.0000026215109995009874,1,1,0,false,false,false,"geckoterminal"
"4U24uRFKGTUtj8E6C7f2zdtxcMFv831FKVZQsmpCpump","MM","Mystic","CjrQaseaKEEEHZmTFyTSS8BkevCT13owyCnsHeWCYUWd",1771143421,2273.0439,195.7979962693,7.179,0.0000028800734205827814,5,7,0,false,false,false,"geckoterminal"
"79UKj5ozD9H8ZwRYntEJamHhu5QgYwDWmwsZSzbyo2C8","assfish","Ass Eating Fish","2E4Vie7SyGuAvFvnUUHghr8t1FoBNAJzPP5zz5T7DkVt",1771143419,16571.0749,5164.5224640992,15.539,0.000008899029803046536,85,152,0,false,false,false,"geckoterminal"
"HinAqYcVzuFE4uXTrVZWqZQRrXU59kpM9uW6mmPnpump","Ajax","Iced Dog","HF56fNUaiQrSEG7mq1rKX1fponYp6SgqkD751kc3yFVE",1771143416,2024.2528,1965.8708851228,-29.605,0.0000025533484558567707,15,22,0,false,false,false,"geckoterminal"
"38dWkMjBYrFQPMGkJnwdH48mLeqWU4xtCmyt81NQj59w","1000X","1000X Likes","B66Xq5XLFf8SjaJkWkEwPxeEePA9sBJa94GqoUq5Pdcf",1771143416,15638.2212,4323.3982831999,2.21,0.000007935624640469712,63,154,0,false,false,false,"geckoterminal"
"7FENfRAyJ6eL1FfEc6Zmh3LnehXbUgtdUDg2DgU7pump","Marin-Chan","Kitagawa-San","8Lmx1DXG6ezfdFvysDwrHaN77bS7tEkjHDWi6C4r31QJ",1771143415,2037.6466,2052.2359711839,-5.855,0.000002570265178809867,26,30,0,false,false,false,"geckoterminal"
"H6Kz3MPVhZoBaQtopKiWa4HwKAwDDPWm7FRxw5Pcpump","JUSTG","JUSTG","J7ARazGkFPXkiRV8WDSXB3mFjCvSatya9vg7NrYvN6Zc",1771143414,2036.0666,109.6164834312,1.008,0.0000025689062596339826,2,3,0,false,false,false,"geckoterminal"
"TGSyDK8MWxpy2zCGiCGR49vnD74mxt8qseWvcJLWXZb","HUNT","Travis hunter","J3y81HdRSw8q8HVEGsaBKwfAoqFmEt2UoPEjfAusPM62",1771143414,27704.9889,16868.5800278004,215.918,0.00002475137968598962,579,144,0,false,false,false,"geckoterminal"
"FwiRTZ1WNQCYTjjY2Sb2B7fUAbZmEdUqjWqb1zetpump","dfg","dfg","GvWKcTStoQ9iKgnZaoK1tg27dD1PzxYtvRSpeYTPmcom",1771143405,2025.0605,0.2719634247,0,0.0000025564744126474978,2,1,0,false,false,false,"geckoterminal"
"2ZeZMPThMtrBHMzM5pSYk8n5sVLmA2NvZQkWAxdBpump","SnakeCat","SnakeCat","2aKyaQZ7XKUT6Qyqjh7WXHHTAqhTRMYM5LnxmPU3ric5",1771143403,2044.2778,89.6805382893,-0.06,0.000002579733926511868,1,1,0,false,false,false,"geckoterminal"
"8GrmHBsBPaCDV3SejQDb3h9iQpnzkZJn5cCuaoFWpump","wifjuice","wifhat wifjuice","9ytxsDGgJWThubqRUbY3RmBwfJ23Anocc5TU3iu4yAJB",1771143393,2211.6512,681.7975698179,-26,0.0000027904433960775504,0,4,0,false,false,false,"geckoterminal"
"A1QY8Dq6Jnd7VpZSHX1gDjMStw2wBZWET5ULFbxDpump","MOGGED","Mogged By Clav","B6jHzhdrFcSFsZrC9g7Y6eDjLUwShaPchUbNsxxNuo9R",1771143391,2013.255,832.2460496476,-13.57,0.0000025400636285004074,10,15,0,false,false,false,"geckoterminal"
"7yecoXMtVdYZXAsqu3VdEvQ3cUrh8PivEMzMiBHzpump","Moonmars","Elon Go to moon and mars","Hq7N2ZzJEy4ydhCEZC8o8RPLK33HGmSRea6V9AX7msoQ",1771143381,2015.2961,1.7940796316,0.019,0.0000025404655996422122,1,1,0,false,false,false,"geckoterminal"
"DHC1GtGHZEwvcrgfzWLQEj7JGJxux1K6BhNYj3ufpump","MEYE","Marduk’s Eye","Dex8fJJQcEBwKK5a5pvtmPx3uGaJRY3viysGH8nT3RTf",1771143379,2162.3297,15.545310059,7.346,0.0000027329026862941397,3,1,0,false,false,false,"geckoterminal"
"FsWKSayo2T2B4b95h1h7VCoL3kjSXgjoLmR3ED2x3UqH","PANDA","pandaXsolana","35LVk56HLc93hFQwpFFHBbkHLAoV9gY4E1aWs2d1Vccv",1771143376,0.0004796325336,46275.472800182,39327.833,0.005309004303998711,448,77,0,false,false,false,"geckoterminal"
"GNA7heY9AxLk6CuvRCriRGpHqEbhuub91xoZqXLupump","CROK","croco","Bz7jf7EXzSgFECgDQgjV3fFVJnVY34Frfd3Q2Q16zuba",1771143376,2019.13483675268,8.9548612904,0,0.0000025458767327609138,1,0,0,false,false,false,"geckoterminal"
"6KUbpGfxt4fngFsKs5QwuarvarBNwZpt7gkPs6MKDWHm","RWA","Real World Asses","9gFrKjHwLPWV1sx9SsK5zvMZ6MnmAoivfC3utYyvxCgZ",1771143371,2075.6811,814.7114949797,-8.662,0.0000025517772656867462,5,7,0,false,false,false,"geckoterminal"
"9bepYsM8hVET3FMDga7vdMKorxX8JjzDQAgnk7qopump","HUNT","Travis hunter","9euf2yrGy3fnZZpmYeW7PfQXF2TQtEh9XLwzv7pnCEyd",1771143370,596.3071,332.5456456578,-69.399,7.784921693790766e-7,21,24,0,false,false,false,"geckoterminal"
"CQ7pdXJ2xUz5xfJuS4ovCi7Fiog2Ebb4XpR1C9h5pump","assfish","Ass Eating Fish","BX4qvXzrgviDSqR517BJXPXjvHQHLemm4n1jq3U1NEnA",1771143361,2118.9822,2904.3504054271,-3.97,0.0000026015584392790287,17,19,0,false,false,false,"geckoterminal"
"BuHV5MqmWt6U5cZaChDBYNkZnPpkA6SQu4F4ui2Gpump","Ajax","Iced Dog","85qfH7kactGy4SGbrXYSAX76N5tKGnLhB38CJWYcEXEy",1771143352,2029.3399,2049.5915852199,-1.661,0.0000025582112781800173,12,11,0,false,false,false,"geckoterminal"
"3tQ9izQosnjayHr9uuPu1ccRWfVdBx7f8csWJCAR9New","GOOP","The Official Goop Coin","Ewet6zVDH74yPjWRtZiwvhkb9LkcNV4XJPWWNxxbZYZH",1771143350,15422.4248,4169.3554764253,117.546,0.00001679173603328738,11,1,0,false,false,false,"geckoterminal"
"2F3kHHofczHJmr7cuMjnyMzxdavWL2TA9BE53Wnwpump","xcv","zxc","HuaWMpFdGRF1s1exYwi6f9V8qMTstundcyuoUa8FTGTs",1771143349,2027.2485,0.1810623534,0,0.000002538543460647398,2,0,0,false,false,false,"geckoterminal"
"HJ9sAzLbRmb6yLq6mtq4PVBcxcLmDS2mcUJpDfGapump","RWAVALUE","Solana RWA Value","2skXPDvqGwo8EY7bgBz7zWWMNBDnRwAjxcxeWi5y3Kz3",1771143346,2148.053,363.2390075635,0.067,0.0000027091242385771882,1,1,0,false,false,false,"geckoterminal"
"B96WMMzVpXLN1igNaRvXfMi44Rbo8euzp5myK7udpump","RWA","RWA Value","CXcNP2JgEupgKbhz6hwKEdxT9ee8521oBxNmnEHjvzWk",1771143345,2148.053,363.2390075635,0.067,0.0000027091242385771882,1,1,0,false,false,false,"geckoterminal"
"EMbSGaYCFHTxerm65SWHBLir7b1wE8B1f6GMiyK3XDRb","Dege","DegeCoin","9cX97NFyAkwq2fUWqXJJu7chAcsuSwtbSqiKYYNjt22U",1771143345,10122.4897,30748.3337835675,-61.236,0.0000055767493615706115,56,8,0,false,false,false,"geckoterminal"
"AVXdAD4M1zfauxguLMUQdUmULJ3npsvNxZr4gQoiDaWz","BoatKid","Pacu Jalur","8W4fFXTTJKc57rM7d7moUeack6NwxndeTkTYSYnW5VT3",1771143342,10139.5275,30799.5131163515,-61.073,0.000005596583919115868,56,11,0,false,false,false,"geckoterminal"
"CPmNNnsvR6ZBFyGSwRop12aUnJEkvpywUF8borCE9LBo","LARRY","Larry the cat","AWsfmyq8dxzJ5Ag99URjDDyqQJRgNJPsVHMADPUfjVBD",1771143333,2544.5993,360.3977306534,52.911,0.0007093087353324863,34,42,0,false,false,false,"geckoterminal"
"CXgTkyzpjFCnPVkMvt5a3QvbKw9ksZsNxH1RFvFzpump","George","Curious George","J4xrGt4Dn81wTgnsCb2WkEwxLJ4SkZDm6HyJJEP8K7ir",1771143333,2034.9903,294.0170101359,-13.73,0.0000025635629598405827,3,2,0,false,false,false,"geckoterminal"
"AJpoigreupNWsSkoWxoH9isSMmhK86pv8EyudyYypump","PUPA","Zalupa","GBPZZcaUezoPVeqBbptR7imPToojj87BMsuw3dvqqMQk",1771143332,2011.9884047027,0.08961180005,0,0.0000025368659749119883,1,0,0,false,false,false,"geckoterminal"
"9ot5wQe1NGXfotUwpz79Cb5X48AXqDAEea9zgipzpump","FST","FunkoSolTaker","9XedhaBB9gV7jLh76a9CBmwdYNqvhCFwoM4Tsysq9wqa",1771143317,22828.1779,560.8098936405,1062.647,0.000029679046226631797,34,17,0,false,false,false,"geckoterminal"
"GAxwefjaDBfyZWVtmCmLi4LyvwCHW6rSHfu9dYb4pump","rogue","rogue","Ef6RH3yH7vKmaHnRZ4nSzJqZ1gDLdKcJPuCPJ23HxyyK",1771143314,3026.7859,225.008446654,51.299,0.000003872477504087174,31,25,0,false,false,false,"geckoterminal"
